,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Orug|SGF78172,54.2811480151612,-2.59116563416078,0.302927754239526,-8.5537412729503,1.1916183911039399e-17,1.6542724306591498e-15
Orug|SGF70152,275.742100901653,-2.42185379289606,0.28352561639838103,-8.541922326669491,1.32007154225225e-17,1.81593841612374e-15
Orug|SGF68701,751.9374324637172,-3.62211692614444,0.424833006317182,-8.52597814266849,1.51523876713061e-17,2.06563901119103e-15
Orug|SGF84636,668.981268767326,-1.98863347235226,0.233408779531443,-8.51996003039964,1.5960839453402804e-17,2.1564234161508106e-15
Orug|SGF79641,295.195115542039,-3.37581327324606,0.396376456749004,-8.51668462081164,1.64185823269177e-17,2.19863705991963e-15
Orug|SGF77395,3829.8770025626704,-1.5059130731218702,0.17690035726604894,-8.512775759163999,1.6981828581273195e-17,2.2541142990511e-15
Orug|SGF76675,1111.79541359279,-3.6976009704106896,0.43442036335953693,-8.51157377111824,1.7158830734480602e-17,2.2578037102100897e-15
Orug|SGF72039,2305.04974492708,0.6294969517450141,0.0742921813882765,8.473259769491051,2.3861964764204198e-17,3.1127521621718804e-15
Orug|SGF80255,89.939219675766,-2.7798832446439903,0.32858452800404603,-8.46017693386269,2.66972155202098e-17,3.45283987394714e-15
Orug|SGF72802,759.45425341567,-3.0533957320938803,0.361468199752799,-8.447204302292791,2.9836134396777696e-17,3.79395282094152e-15
Orug|SGF80541,124.099678361787,-3.14782643212811,0.37263639713375,-8.447447582524429,2.9774047099045606e-17,3.79395282094152e-15
Orug|SGF69892,2554.34538091326,-1.80372059871188,0.21455474353464105,-8.406808299815848,4.213188676080229e-17,5.3128309205371715e-15
Orug|SGF67745,158.022250640146,-1.717557116977,0.204609891984784,-8.394301469572769,4.6867220213482795e-17,5.8611138534745595e-15
Orug|SGF82875,629.6789157600372,-1.7048469766212202,0.20339766940959,-8.381841254965941,5.21060797923092e-17,6.462862290305109e-15
Orug|SGF61225,340.57484869627604,-1.54462045047182,0.184332667208483,-8.37952639574643,5.31410976536095e-17,6.537651135726979e-15
Orug|SGF85730,380.794073676676,-3.21182131280696,0.38353436057403295,-8.37427266751237,5.55659719266448e-17,6.780841025757978e-15
Orug|SGF67651,218.450092557433,-3.6979856165265,0.44217688623991297,-8.36313640898921,6.10725326350671e-17,7.39319651067068e-15
Orug|SGF69671,396.87960489477007,-1.54753365494991,0.18524456016538696,-8.35400323533533,6.59875382015931e-17,7.92478911163894e-15
Orug|SGF81903,204.69030483902802,-4.01690109622952,0.48092245470825,-8.35249229247647,6.68374279443673e-17,7.963653225623359e-15
Orug|SGF80896,173.193476775447,-3.59725200003115,0.431244659600946,-8.34155721107337,7.33185403469835e-17,8.667626191644951e-15
Orug|SGF82540,197.03465268101502,-1.3430856066416,0.16163530915324698,-8.309357736731991,9.622143601190319e-17,1.1286998214977699e-14
Orug|SGF62207,155.39107453538202,-2.51315040874613,0.302678294506178,-8.30304139530835,1.0147949846259998e-16,1.18122136210467e-14
Orug|SGF62815,2229.18396854426,-2.65577341709634,0.320353899965249,-8.290123570789781,1.13130874499034e-16,1.3067911396331101e-14
Orug|SGF72971,440.74998630030603,-1.1622745187846,0.140677019467537,-8.26200699434642,1.4324330842921e-16,1.6420891993566705e-14
Orug|SGF84851,390.007378011871,-1.9665509042322904,0.238734108247441,-8.23741072722634,1.7597753815073504e-16,2.0021745167646e-14
Orug|SGF78127,35.9100602514287,-2.24036994379232,0.272126337517842,-8.232830251667322,1.82841203055345e-16,2.0647411079354303e-14
Orug|SGF71278,1288.10360723258,-1.3617472267227098,0.16551428465783802,-8.22736979794711,1.9136896220683403e-16,2.1450334341583802e-14
Orug|SGF78313,209.150155674481,-1.97652647678877,0.240363974404443,-8.223056228314,1.9838176847522696e-16,2.20728891218171e-14
Orug|SGF72992,1663.25156607319,-0.77920972887131,0.0947820755077091,-8.2210663218483,2.01701679094764e-16,2.22784657522772e-14
Orug|SGF85468,986.8520215988699,-1.22250295355247,0.148719899822184,-8.22017063630455,2.0321383637745296e-16,2.22828389279973e-14
Orug|SGF62026,358.482383877535,-3.57960886946305,0.435711791542702,-8.21554279444427,2.1120671165961902e-16,2.2992661588729196e-14
Orug|SGF72098,71.9945949316502,-3.13767973845394,0.3824356416640589,-8.20446474288125,2.31620477024177e-16,2.5034864702356097e-14
Orug|SGF81552,399.813060925924,-1.80682523553874,0.22090075251368305,-8.17935301251101,2.85371941070614e-16,3.0625873845961203e-14
Orug|SGF79624,372.0824903065551,-1.96192448621644,0.240258456766261,-8.16589148462367,3.1907000458070897e-16,3.40011782346147e-14
Orug|SGF82738,2513.51636051944,-0.73299995814701,0.0899399496833021,-8.14988179032855,3.64280182284475e-16,3.85444949546364e-14
Orug|SGF84319,408.461877890022,-3.1933334484718903,0.39186581246737706,-8.14904833969854,3.6679931756989405e-16,3.85444949546364e-14
Orug|SGF67306,18721.1546222788,0.5612893194736059,0.0688874695833076,8.147916055979131,3.70249213465573e-16,3.86386972286969e-14
Orug|SGF78575,213.587344755955,-4.158067583042231,0.510999745615497,-8.13712260861079,4.04782741623939e-16,4.19532359332427e-14
Orug|SGF74767,188.82046499812802,-2.56227730725185,0.315484337601846,-8.12172587307819,4.596004955034168e-16,4.73107122310048e-14
Orug|SGF62297,638.215898245487,-2.15876128964277,0.266136194323025,-8.111490791900911,5.00024507044924e-16,5.1124127301376896e-14
Orug|SGF61781,135.526985057964,-1.34528747991855,0.165893923046921,-8.10932344723713,5.090238238098482e-16,5.16949563885276e-14
Orug|SGF85435,522.225851346629,-1.32116377992408,0.163023572636938,-8.104127265486799,5.31254739664092e-16,5.359297813731352e-14
Orug|SGF71656,3042.02515813424,-1.5305519328067698,0.18953912678617896,-8.07512390058333,6.74081642216789e-16,6.755101596042691e-14
Orug|SGF60369,401.83463312649695,-2.51109265070838,0.31109478101082,-8.07179291966665,6.927329486491341e-16,6.851264692129859e-14
Orug|SGF64340,80.3764956054937,-4.002129170211879,0.495805840710818,-8.0719685844648,6.91736763323653e-16,6.851264692129859e-14
Orug|SGF77788,207.54389236294,-2.5571868436770697,0.316885478167938,-8.0697508085929,7.044178912774909e-16,6.921591903124022e-14
Orug|SGF69499,56.715195880658506,-2.76974340020572,0.343631063584291,-8.06022415818737,7.61546718143332e-16,7.434661250932201e-14
Orug|SGF63394,319.89151699487,-2.09997775895357,0.260844403647901,-8.050691253427111,8.232771479507832e-16,7.98578833512259e-14
Orug|SGF75926,360.6693456651049,-3.11104162419809,0.386767078977589,-8.043708457353869,8.715974224642219e-16,8.400644711292099e-14
Orug|SGF71426,519.586902658006,-2.8732798730041003,0.357552912133149,-8.03595712830922,9.285120853869258e-16,8.89256004814871e-14
Orug|SGF67742,1090.17655608138,-2.21870820206738,0.276233053228715,-8.03201563366255,9.588414870333779e-16,9.125276340747839e-14
Orug|SGF63168,231.299381721125,-2.5458775549225,0.317777964284278,-8.01149809319379,1.1331949257439e-15,1.06506246064327e-13
Orug|SGF81218,357.686209865756,-3.4703203263916005,0.4331535086332,-8.01175624166607,1.13081830434899e-15,1.06506246064327e-13
Orug|SGF68607,142.671617952614,-1.3446458185769998,0.168257701457545,-7.9915855674296115,1.33214207058022e-15,1.24431937111234e-13
Orug|SGF75918,26.4804827338946,-2.53243404558346,0.317783210568736,-7.96906180490518,1.59883489389325e-15,1.4823489781301e-13
Orug|SGF79563,129.309362182963,-2.76082201972358,0.34646845533657794,-7.96846574976522,1.60656378808707e-15,1.4823489781301e-13
Orug|SGF85808,1230.42830213469,-1.23595504568586,0.15515820077039005,-7.96577325303537,1.6419377586326199e-15,1.50580619173508e-13
Orug|SGF82553,497.563928208181,-4.05716715272589,0.510298291011026,-7.950579541796322,1.8564100052620802e-15,1.69224073491721e-13
Orug|SGF60243,318.167702443633,-2.09592153897602,0.26367491898838696,-7.948884736618919,1.88198051536343e-15,1.70527719511853e-13
Orug|SGF75420,333.556688480693,-3.14763227949573,0.396678070169846,-7.9349793099175,2.10530418321815e-15,1.89627755359863e-13
Orug|SGF69383,698.893706591125,0.5073593427098669,0.0640048507486653,7.9268889275621985,2.2470409876027197e-15,2.0119659304381305e-13
Orug|SGF72692,1166.96246632672,-2.01751882852782,0.254548708695925,-7.925865500806309,2.26562713297906e-15,2.0166746927199496e-13
Orug|SGF68452,87.573900086455,-2.5423867320939104,0.320800475711586,-7.92513392149588,2.27900583367733e-15,2.01672025001201e-13
Orug|SGF60809,367.45094092821404,-3.89257462397955,0.491335253971909,-7.922441128562079,2.3289236639583503e-15,2.04891121412894e-13
Orug|SGF60524,499.327532443715,-0.596178424872283,0.0752680582788907,-7.92073607988217,2.3610862282550998e-15,2.0651998153731892e-13
Orug|SGF75787,79.8471723410046,-4.51990964407468,0.571671256579907,-7.90648400116457,2.6476030863930803e-15,2.30250171858047e-13
Orug|SGF79642,33.849989757122806,-2.9242677517090296,0.37055514411497104,-7.89158590334324,2.9837034131205607e-15,2.57996571699088e-13
Orug|SGF72555,500.566021867742,-1.13565148285923,0.143980224219437,-7.887551842733692,3.08172145213271e-15,2.64958005759501e-13
